Drug,URL
Abemaciclib,https://www.webmd.com/drugs/drugreview-174190-abemaciclib-oral.aspx?drugid=174190&drugname=abemaciclib-oral
Abiraterone ACETATE,https://www.webmd.com/drugs/drugreview-155807-abiraterone-oral.aspx?drugid=155807&drugname=abiraterone-oral
Abraxane ,https://www.webmd.com/drugs/drugreview-92630-Abraxane-intravenous.aspx?drugid=92630&drugname=Abraxane-intravenous
Acalabrutinib,https://www.webmd.com/drugs/drugreview-174338-acalabrutinib-oral.aspx?drugid=174338&drugname=acalabrutinib-oral
Actemra Syringe,https://www.webmd.com/drugs/drugreview-165329-Actemra-subcutaneous.aspx?drugid=165329&drugname=Actemra-subcutaneous
Actemra Vial,https://www.webmd.com/drugs/drugreview-153521-Actemra-intravenous.aspx?drugid=153521&drugname=Actemra-intravenous
Actemra Actpen Pen Injector,https://www.webmd.com/drugs/drugreview-176674-Actemra-ACTPen-subcutaneous.aspx?drugid=176674&drugname=Actemra-ACTPen-subcutaneous
Tocilizumab Syringe,https://www.webmd.com/drugs/drugreview-165324-tocilizumab-subcutaneous.aspx?drugid=165324&drugname=tocilizumab-subcutaneous
Tocilizumab Solution,https://www.webmd.com/drugs/drugreview-153516-tocilizumab-intravenous.aspx?drugid=153516&drugname=tocilizumab-intravenous
Adcetris ,https://www.webmd.com/drugs/drugreview-156904-Adcetris-intravenous.aspx?drugid=156904&drugname=Adcetris-intravenous
Brentuximab Vedotin,https://www.webmd.com/drugs/drugreview-156890-brentuximab-vedotin-intravenous.aspx?drugid=156890&drugname=brentuximab-vedotin-intravenous
"Ado-Trastuzumab Emtansine Solution, Reconstituted (Recon Soln)",https://www.webmd.com/drugs/drugreview-163562-ado-trastuzumab-emtansine-intravenous.aspx?drugid=163562&drugname=ado-trastuzumab-emtansine-intravenous
Adriamycin Vial,https://www.webmd.com/drugs/drugreview-6666-Adriamycin-PFS-intravenous.aspx?drugid=6666&drugname=Adriamycin-PFS-intravenous
"Adriamycin RDF Solution, Reconstituted (Recon Soln)",https://www.webmd.com/drugs/drugreview-8968-Adriamycin-RDF-intravenous.aspx?drugid=8968&drugname=Adriamycin-RDF-intravenous
Adriamycin 2 Mg/Ml Intravenous Solution,https://www.webmd.com/drugs/drugreview-52891-Adriamycin-intravenous.aspx?drugid=52891&drugname=Adriamycin-intravenous
Afinitor,https://www.webmd.com/drugs/drugreview-152072-Afinitor-oral.aspx?drugid=152072&drugname=Afinitor-oral
Afinitor Disperz,https://www.webmd.com/drugs/drugreview-164096-Afinitor-Disperz-oral.aspx?drugid=164096&drugname=Afinitor-Disperz-oral
Everolimus (Antineoplastic) Tablet,https://www.webmd.com/drugs/drugreview-173865-everolimus-antineoplastic-oral.aspx?drugid=173865&drugname=everolimus-antineoplastic-oral
Everolimus (Immunosuppressive) Tablet,https://www.webmd.com/drugs/drugreview-173864-everolimus-immunosuppressive-oral.aspx?drugid=173864&drugname=everolimus-immunosuppressive-oral
Akynzeo,https://www.webmd.com/drugs/drugreview-167114-Akynzeo-netupitant-oral.aspx?drugid=167114&drugname=Akynzeo-netupitant-oral
Akynzeo Vial,https://www.webmd.com/drugs/drugreview-175208-Akynzeo-fosnetupitant-intravenous.aspx?drugid=175208&drugname=Akynzeo-fosnetupitant-intravenous
Aldara ,https://www.webmd.com/drugs/drugreview-1207-Aldara-topical.aspx?drugid=1207&drugname=Aldara-topical
Imiquimod (Bulk) 100 % Powder,https://www.webmd.com/drugs/drugreview-154999-imiquimod-bulk.aspx?drugid=154999&drugname=imiquimod-bulk
Imiquimod Cream In Packet,https://www.webmd.com/drugs/drugreview-1191-imiquimod-topical.aspx?drugid=1191&drugname=imiquimod-topical
Aldesleukin,https://www.webmd.com/drugs/drugreview-11667-aldesleukin-intravenous.aspx?drugid=11667&drugname=aldesleukin-intravenous
Alecensa ,https://www.webmd.com/drugs/drugreview-170687-Alecensa-oral.aspx?drugid=170687&drugname=Alecensa-oral
Alectinib,https://www.webmd.com/drugs/drugreview-170682-alectinib-oral.aspx?drugid=170682&drugname=alectinib-oral
Alemtuzumab,https://www.webmd.com/drugs/drugreview-21057-alemtuzumab-intravenous.aspx?drugid=21057&drugname=alemtuzumab-intravenous
Alimta ,https://www.webmd.com/drugs/drugreview-78575-Alimta-intravenous.aspx?drugid=78575&drugname=Alimta-intravenous
Melphalan Tablet,https://www.webmd.com/drugs/drugreview-5234-melphalan-oral.aspx?drugid=5234&drugname=melphalan-oral
Melphalan Hcl Vial,https://www.webmd.com/drugs/drugreview-4439-melphalan-intravenous.aspx?drugid=4439&drugname=melphalan-intravenous
"Melphalan Hcl-Betadex SBES Solution, Reconstituted (Recon Soln)",https://www.webmd.com/drugs/drugreview-172600-melphalan-betadex-sulfobutyl-ether-sodium-intravenous.aspx?drugid=172600&drugname=melphalan-betadex-sulfobutyl-ether-sodium-intravenous
Aloxi ,https://www.webmd.com/drugs/drugreview-76703-Aloxi-intravenous.aspx?drugid=76703&drugname=Aloxi-intravenous
Alunbrig ,https://www.webmd.com/drugs/drugreview-173578-Alunbrig-oral.aspx?drugid=173578&drugname=Alunbrig-oral
Brigatinib,https://www.webmd.com/drugs/drugreview-173574-brigatinib-oral.aspx?drugid=173574&drugname=brigatinib-oral
Ameluz ,https://www.webmd.com/drugs/drugreview-172621-Ameluz-topical.aspx?drugid=172621&drugname=Ameluz-topical
Aminolevulinic Acid Hcl Solution,https://www.webmd.com/drugs/drugreview-20437-aminolevulinic-acid-HCl-topical.aspx?drugid=20437&drugname=aminolevulinic-acid-HCl-topical
"Aminolevulinic Acid Hcl Solution, Reconstituted (Recon Soln)",https://www.webmd.com/drugs/drugreview-164734-aminolevulinic-acid-HCl-oral.aspx?drugid=164734&drugname=aminolevulinic-acid-HCl-oral
Aminolevulinic Acid Hcl (Bulk) 100 % Powder,https://www.webmd.com/drugs/drugreview-166997-aminolevulinic-acid-HCl-bulk.aspx?drugid=166997&drugname=aminolevulinic-acid-HCl-bulk
Amifostine,https://www.webmd.com/drugs/drugreview-1287-amifostine-crystalline-intravenous.aspx?drugid=1287&drugname=amifostine-crystalline-intravenous
Anastrozole,https://www.webmd.com/drugs/drugreview-1555-anastrozole-oral.aspx?drugid=1555&drugname=anastrozole-oral
Anastrozole (Bulk) 100 % Powder,https://www.webmd.com/drugs/drugreview-148866-anastrozole-bulk.aspx?drugid=148866&drugname=anastrozole-bulk
Apalutamide,https://www.webmd.com/drugs/drugreview-174785-apalutamide-oral.aspx?drugid=174785&drugname=apalutamide-oral
Aprepitant,https://www.webmd.com/drugs/drugreview-75031-aprepitant-oral.aspx?drugid=75031&drugname=aprepitant-oral
Aprepitant Emulsion,https://www.webmd.com/drugs/drugreview-174390-aprepitant-intravenous.aspx?drugid=174390&drugname=aprepitant-intravenous
Aranesp Syringe,https://www.webmd.com/drugs/drugreview-144498-Aranesp-in-polysorbate-injection.aspx?drugid=144498&drugname=Aranesp-in-polysorbate-injection
Aranesp (In Albumin) Solution,https://www.webmd.com/drugs/drugreview-21884-Aranesp-in-albumin-injection.aspx?drugid=21884&drugname=Aranesp-in-albumin-injection
Aranesp Sureclick (Polysorbat) Pen Injector,https://www.webmd.com/drugs/drugreview-144990-Aranesp-SureClick-in-polysorbate-subcutaneous.aspx?drugid=144990&drugname=Aranesp-SureClick-in-polysorbate-subcutaneous
Darbepoetin Alfa-Albumin Solution,https://www.webmd.com/drugs/drugreview-21885-darbepoetin-alfa-albumin-injection.aspx?drugid=21885&drugname=darbepoetin-alfa-albumin-injection
Darbepoetin Alfa In Polysorbat Solution,https://www.webmd.com/drugs/drugreview-144492-darbepoetin-alfa-in-polysorbate-injection.aspx?drugid=144492&drugname=darbepoetin-alfa-in-polysorbate-injection
Darbepoetin Alfa In Polysorbat Pen Injector,https://www.webmd.com/drugs/drugreview-147954-darbepoetin-alfa-in-polysorbate-subcutaneous.aspx?drugid=147954&drugname=darbepoetin-alfa-in-polysorbate-subcutaneous
Aredia ,https://www.webmd.com/drugs/drugreview-11208-Aredia-intravenous.aspx?drugid=11208&drugname=Aredia-intravenous
Pamidronate DISODIUM Vial,https://www.webmd.com/drugs/drugreview-11598-pamidronate-intravenous.aspx?drugid=11598&drugname=pamidronate-intravenous
Arimidex,https://www.webmd.com/drugs/drugreview-4511-Arimidex-oral.aspx?drugid=4511&drugname=Arimidex-oral
Arimidex 30-Day Pack Tablet,https://www.webmd.com/drugs/drugreview-150375-Arimidex-30-day-Pack-oral.aspx?drugid=150375&drugname=Arimidex-30-day-Pack-oral
Aromasin ,https://www.webmd.com/drugs/drugreview-17966-Aromasin-oral.aspx?drugid=17966&drugname=Aromasin-oral
Exemestane,https://www.webmd.com/drugs/drugreview-17764-exemestane-oral.aspx?drugid=17764&drugname=exemestane-oral
Arranon ,https://www.webmd.com/drugs/drugreview-94970-Arranon-intravenous.aspx?drugid=94970&drugname=Arranon-intravenous
Nelarabine,https://www.webmd.com/drugs/drugreview-94487-nelarabine-intravenous.aspx?drugid=94487&drugname=nelarabine-intravenous
Arsenic Trioxide (Bulk) Powder,https://www.webmd.com/drugs/drugreview-76354-arsenic-trioxide-bulk.aspx?drugid=76354&drugname=arsenic-trioxide-bulk
Arsenic Trioxide Vial,https://www.webmd.com/drugs/drugreview-20255-arsenic-trioxide-intravenous.aspx?drugid=20255&drugname=arsenic-trioxide-intravenous
Arzerra ,https://www.webmd.com/drugs/drugreview-153204-Arzerra-intravenous.aspx?drugid=153204&drugname=Arzerra-intravenous
Ofatumumab,https://www.webmd.com/drugs/drugreview-153200-ofatumumab-intravenous.aspx?drugid=153200&drugname=ofatumumab-intravenous
Calaspargase Pegol-Mknl Solution,https://www.webmd.com/drugs/drugreview-176741-calaspargase-pegol-mknl-intravenous.aspx?drugid=176741&drugname=calaspargase-pegol-mknl-intravenous
Atezolizumab,https://www.webmd.com/drugs/drugreview-171808-atezolizumab-intravenous.aspx?drugid=171808&drugname=atezolizumab-intravenous
Avastin ,https://www.webmd.com/drugs/drugreview-78649-Avastin-intravenous.aspx?drugid=78649&drugname=Avastin-intravenous
Bevacizumab Syringe,https://www.webmd.com/drugs/drugreview-172832-bevacizumab-intravitreal.aspx?drugid=172832&drugname=bevacizumab-intravitreal
Bevacizumab Solution,https://www.webmd.com/drugs/drugreview-78648-bevacizumab-intravenous.aspx?drugid=78648&drugname=bevacizumab-intravenous
Bevacizumab-Awwb Solution,https://www.webmd.com/drugs/drugreview-174126-bevacizumab-awwb-intravenous.aspx?drugid=174126&drugname=bevacizumab-awwb-intravenous
Avelumab,https://www.webmd.com/drugs/drugreview-173442-avelumab-intravenous.aspx?drugid=173442&drugname=avelumab-intravenous
Axicabtagene Ciloleucel,https://www.webmd.com/drugs/drugreview-174276-axicabtagene-ciloleucel-intravenous.aspx?drugid=174276&drugname=axicabtagene-ciloleucel-intravenous
Axitinib,https://www.webmd.com/drugs/drugreview-159383-axitinib-oral.aspx?drugid=159383&drugname=axitinib-oral
Azacitidine,https://www.webmd.com/drugs/drugreview-90380-azacitidine-injection.aspx?drugid=90380&drugname=azacitidine-injection
Azedra Dosimetric Vial,https://www.webmd.com/drugs/drugreview-175958-Azedra-Dosimetric-intravenous.aspx?drugid=175958&drugname=Azedra-Dosimetric-intravenous
Azedra Therapeutic Vial,https://www.webmd.com/drugs/drugreview-175959-Azedra-Therapeutic-intravenous.aspx?drugid=175959&drugname=Azedra-Therapeutic-intravenous
Iobenguane Iodine-131 Solution,https://www.webmd.com/drugs/drugreview-175766-iobenguane-iodine-131-intravenous.aspx?drugid=175766&drugname=iobenguane-iodine-131-intravenous
Bavencio ,https://www.webmd.com/drugs/drugreview-173446-Bavencio-intravenous.aspx?drugid=173446&drugname=Bavencio-intravenous
Beleodaq ,https://www.webmd.com/drugs/drugreview-166627-Beleodaq-intravenous.aspx?drugid=166627&drugname=Beleodaq-intravenous
Belinostat,https://www.webmd.com/drugs/drugreview-166586-belinostat-intravenous.aspx?drugid=166586&drugname=belinostat-intravenous
Bendeka ,https://www.webmd.com/drugs/drugreview-170679-Bendeka-intravenous.aspx?drugid=170679&drugname=Bendeka-intravenous
Besponsa ,https://www.webmd.com/drugs/drugreview-174028-Besponsa-intravenous.aspx?drugid=174028&drugname=Besponsa-intravenous
"Inotuzumab Ozogamicin Solution, Reconstituted (Recon Soln)",https://www.webmd.com/drugs/drugreview-174027-inotuzumab-ozogamicin-intravenous.aspx?drugid=174027&drugname=inotuzumab-ozogamicin-intravenous
Bexarotene,https://www.webmd.com/drugs/drugreview-17968-bexarotene-oral.aspx?drugid=17968&drugname=bexarotene-oral
Bexarotene Gel,https://www.webmd.com/drugs/drugreview-19803-bexarotene-topical.aspx?drugid=19803&drugname=bexarotene-topical
Bicalutamide,https://www.webmd.com/drugs/drugreview-1554-bicalutamide-oral.aspx?drugid=1554&drugname=bicalutamide-oral
BiCNU ,https://www.webmd.com/drugs/drugreview-9025-BiCNU-intravenous.aspx?drugid=9025&drugname=BiCNU-intravenous
Carmustine Vial,https://www.webmd.com/drugs/drugreview-19920-carmustine-intravenous.aspx?drugid=19920&drugname=carmustine-intravenous
Carmustine In Polifeprosan Wafer,https://www.webmd.com/drugs/drugreview-20214-carmustine-in-polifeprosan-implant.aspx?drugid=20214&drugname=carmustine-in-polifeprosan-implant
Binimetinib,https://www.webmd.com/drugs/drugreview-175525-binimetinib-oral.aspx?drugid=175525&drugname=binimetinib-oral
Bleomycin,https://www.webmd.com/drugs/drugreview-5069-bleomycin-injection.aspx?drugid=5069&drugname=bleomycin-injection
Blinatumomab,https://www.webmd.com/drugs/drugreview-167430-blinatumomab-intravenous.aspx?drugid=167430&drugname=blinatumomab-intravenous
Blincyto ,https://www.webmd.com/drugs/drugreview-167431-Blincyto-intravenous.aspx?drugid=167431&drugname=Blincyto-intravenous
Bortezomib Vial,https://www.webmd.com/drugs/drugreview-168444-bortezomib-intravenous.aspx?drugid=168444&drugname=bortezomib-intravenous
"Bortezomib Solution, Reconstituted (Recon Soln)",https://www.webmd.com/drugs/drugreview-75263-bortezomib-injection.aspx?drugid=75263&drugname=bortezomib-injection
Bosulif ,https://www.webmd.com/drugs/drugreview-162416-Bosulif-oral.aspx?drugid=162416&drugname=Bosulif-oral
Bosutinib,https://www.webmd.com/drugs/drugreview-162353-bosutinib-oral.aspx?drugid=162353&drugname=bosutinib-oral
Braftovi ,https://www.webmd.com/drugs/drugreview-175528-Braftovi-oral.aspx?drugid=175528&drugname=Braftovi-oral
Encorafenib,https://www.webmd.com/drugs/drugreview-175523-encorafenib-oral.aspx?drugid=175523&drugname=encorafenib-oral
Busulfan Tablet,https://www.webmd.com/drugs/drugreview-14002-busulfan-oral.aspx?drugid=14002&drugname=busulfan-oral
Busulfan Solution,https://www.webmd.com/drugs/drugreview-16957-busulfan-intravenous.aspx?drugid=16957&drugname=busulfan-intravenous
Busulfex ,https://www.webmd.com/drugs/drugreview-16956-Busulfex-intravenous.aspx?drugid=16956&drugname=Busulfex-intravenous
Cabazitaxel,https://www.webmd.com/drugs/drugreview-154336-cabazitaxel-intravenous.aspx?drugid=154336&drugname=cabazitaxel-intravenous
Cabometyx ,https://www.webmd.com/drugs/drugreview-171648-Cabometyx-oral.aspx?drugid=171648&drugname=Cabometyx-oral
Calquence ,https://www.webmd.com/drugs/drugreview-174341-Calquence-oral.aspx?drugid=174341&drugname=Calquence-oral
Campath ,https://www.webmd.com/drugs/drugreview-21061-Campath-intravenous.aspx?drugid=21061&drugname=Campath-intravenous
Camptosar ,https://www.webmd.com/drugs/drugreview-13705-Camptosar-intravenous.aspx?drugid=13705&drugname=Camptosar-intravenous
Capecitabine,https://www.webmd.com/drugs/drugreview-7777-capecitabine-oral.aspx?drugid=7777&drugname=capecitabine-oral
Carac ,https://www.webmd.com/drugs/drugreview-20406-Carac-topical.aspx?drugid=20406&drugname=Carac-topical
Carboplatin,https://www.webmd.com/drugs/drugreview-4551-carboplatin-intravenous.aspx?drugid=4551&drugname=carboplatin-intravenous
Carfilzomib,https://www.webmd.com/drugs/drugreview-161669-carfilzomib-intravenous.aspx?drugid=161669&drugname=carfilzomib-intravenous
Casodex ,https://www.webmd.com/drugs/drugreview-4510-Casodex-oral.aspx?drugid=4510&drugname=Casodex-oral
CEM,https://www.webmd.com/drugs/drugreview-156215-CEM-Urea-topical.aspx?drugid=156215&drugname=CEM-Urea-topical
Cemiplimab-rwlc,https://www.webmd.com/drugs/drugreview-176174-cemiplimab-rwlc-intravenous.aspx?drugid=176174&drugname=cemiplimab-rwlc-intravenous
Ceritinib,https://www.webmd.com/drugs/drugreview-166222-ceritinib-oral.aspx?drugid=166222&drugname=ceritinib-oral
Cerubidine ,https://www.webmd.com/drugs/drugreview-6164-Cerubidine-intravenous.aspx?drugid=6164&drugname=Cerubidine-intravenous
Cervarix ,https://www.webmd.com/drugs/drugreview-153155-Cervarix-Vaccine-PF-intramuscular.aspx?drugid=153155&drugname=Cervarix-Vaccine-PF-intramuscular
Cetuximab,https://www.webmd.com/drugs/drugreview-78630-cetuximab-intravenous.aspx?drugid=78630&drugname=cetuximab-intravenous
Chlorambucil Tablet,https://www.webmd.com/drugs/drugreview-14006-chlorambucil-oral.aspx?drugid=14006&drugname=chlorambucil-oral
Chlorambucil Powder,https://www.webmd.com/drugs/drugreview-20390-chlorambucil-bulk.aspx?drugid=20390&drugname=chlorambucil-bulk
Cisplatin Vial,https://www.webmd.com/drugs/drugreview-8756-cisplatin-intravenous.aspx?drugid=8756&drugname=cisplatin-intravenous
Cisplatin (Bulk) 100 % Powder,https://www.webmd.com/drugs/drugreview-158115-cisplatin-bulk.aspx?drugid=158115&drugname=cisplatin-bulk
Cladribine,https://www.webmd.com/drugs/drugreview-8548-cladribine-intravenous.aspx?drugid=8548&drugname=cladribine-intravenous
Clofarabine,https://www.webmd.com/drugs/drugreview-92460-clofarabine-intravenous.aspx?drugid=92460&drugname=clofarabine-intravenous
Clolar ,https://www.webmd.com/drugs/drugreview-92487-Clolar-intravenous.aspx?drugid=92487&drugname=Clolar-intravenous
Cobimetinib,https://www.webmd.com/drugs/drugreview-170405-cobimetinib-oral.aspx?drugid=170405&drugname=cobimetinib-oral
Cometriq ,https://www.webmd.com/drugs/drugreview-163281-Cometriq-oral.aspx?drugid=163281&drugname=Cometriq-oral
Copiktra ,https://www.webmd.com/drugs/drugreview-176158-Copiktra-oral.aspx?drugid=176158&drugname=Copiktra-oral
Duvelisib,https://www.webmd.com/drugs/drugreview-176153-duvelisib-oral.aspx?drugid=176153&drugname=duvelisib-oral
Iron-Mfolate-C-E-B12-Biot-Copp Tablet,https://www.webmd.com/drugs/drugreview-175133-iron-methylfolate-vit-C-vit-E-vit-B12-biotin-copper-oral.aspx?drugid=175133&drugname=iron-methylfolate-vit-C-vit-E-vit-B12-biotin-copper-oral
B3-Azel-Quer-Tur-FA-B6-Zn-Copp Tablet,https://www.webmd.com/drugs/drugreview-165170-niacin-azelaic-acid-quercetn-turmeric-FA-B6-zinc-copper-oral.aspx?drugid=165170&drugname=niacin-azelaic-acid-quercetn-turmeric-FA-B6-zinc-copper-oral
"Vits A,C,E-Lutein-Zeax-Zn-Copp Capsule",https://www.webmd.com/drugs/drugreview-164383-vits-A-C-E-lutein-zeaxan-zinc-copper-oral.aspx?drugid=164383&drugname=vits-A-C-E-lutein-zeaxan-zinc-copper-oral
