Drug,URL
Actos,https://www.webmd.com/drugs/drugreview-17410-actos.aspx?drugid=17410&drugname=actos
acyclovir,https://www.webmd.com/drugs/drugreview-941-acyclovir.aspx?drugid=941&drugname=acyclovir
Adderall XR,https://www.webmd.com/drugs/drugreview-63164-adderall-xr.aspx?drugid=63164&drugname=adderall-xr
allopurinol,https://www.webmd.com/drugs/drugreview-8610-allopurinol.aspx?drugid=8610&drugname=allopurinol
Ambien,https://www.webmd.com/drugs/drugreview-9690-ambien.aspx?drugid=9690&drugname=ambien
amitriptyline HCL,https://www.webmd.com/drugs/drugreview-8611-amitriptyline-hcl.aspx?drugid=8611&drugname=amitriptyline-hcl
amoxicillin,https://www.webmd.com/drugs/drugreview-1531-amoxicillin.aspx?drugid=1531&drugname=amoxicillin
atenolol,https://www.webmd.com/drugs/drugreview-11035-atenolol.aspx?drugid=11035&drugname=atenolol
Ativan,https://www.webmd.com/drugs/drugreview-6685-ativan.aspx?drugid=6685&drugname=ativan
azithromycin,https://www.webmd.com/drugs/drugreview-1527-azithromycin.aspx?drugid=1527&drugname=azithromycin
baclofen,https://www.webmd.com/drugs/drugreview-8615-baclofen.aspx?drugid=8615&drugname=baclofen
Bactrim DS,https://www.webmd.com/drugs/drugreview-5530-bactrim-ds.aspx?drugid=5530&drugname=bactrim-ds
Benadryl,https://www.webmd.com/drugs/drugreview-5680-benadryl.aspx?drugid=5680&drugname=benadryl
benzonatate,https://www.webmd.com/drugs/drugreview-14257-benzonatate.aspx?drugid=14257&drugname=benzonatate
bupropion HCl,https://www.webmd.com/drugs/drugreview-13507-bupropion-hcl.aspx?drugid=13507&drugname=bupropion-hcl
buspirone HCL,https://www.webmd.com/drugs/drugreview-8876-buspirone-hcl.aspx?drugid=8876&drugname=buspirone-hcl
Bystolic,https://www.webmd.com/drugs/drugreview-149883-bystolic.aspx?drugid=149883&drugname=bystolic
Celebrex,https://www.webmd.com/drugs/drugreview-16849-celebrex.aspx?drugid=16849&drugname=celebrex
Celexa,https://www.webmd.com/drugs/drugreview-8603-celexa.aspx?drugid=8603&drugname=celexa
Cialis,https://www.webmd.com/drugs/drugreview-77881-cialis.aspx?drugid=77881&drugname=cialis
Cipro,https://www.webmd.com/drugs/drugreview-1124-cipro.aspx?drugid=1124&drugname=cipro
citalopram HBR,https://www.webmd.com/drugs/drugreview-1701-citalopram-hbr.aspx?drugid=1701&drugname=citalopram-hbr
clindamycin HCl,https://www.webmd.com/drugs/drugreview-12235-clindamycin-hcl.aspx?drugid=12235&drugname=clindamycin-hcl
clonazepam,https://www.webmd.com/drugs/drugreview-14403-clonazepam.aspx?drugid=14403&drugname=clonazepam
Concerta,https://www.webmd.com/drugs/drugreview-19857-concerta.aspx?drugid=19857&drugname=concerta
Coumadin,https://www.webmd.com/drugs/drugreview-4069-coumadin.aspx?drugid=4069&drugname=coumadin
Crestor,https://www.webmd.com/drugs/drugreview-76704-crestor.aspx?drugid=76704&drugname=crestor
cyclobenzaprine HCL,https://www.webmd.com/drugs/drugreview-8888-cyclobenzaprine-hcl.aspx?drugid=8888&drugname=cyclobenzaprine-hcl
Cymbalta,https://www.webmd.com/drugs/drugreview-91491-cymbalta.aspx?drugid=91491&drugname=cymbalta
Depakote,https://www.webmd.com/drugs/drugreview-1788-depakote.aspx?drugid=1788&drugname=depakote
Dexilant,https://www.webmd.com/drugs/drugreview-153875-dexilant.aspx?drugid=153875&drugname=dexilant
dicyclomine HCL,https://www.webmd.com/drugs/drugreview-5247-dicyclomine-hcl.aspx?drugid=5247&drugname=dicyclomine-hcl
Dilaudid,https://www.webmd.com/drugs/drugreview-9130-dilaudid.aspx?drugid=9130&drugname=dilaudid
