Drug,URL
acarbose,https://www.webmd.com/drugs/drugreview-5207-acarbose-oral.aspx?drugid=5207&drugname=acarbose-oral
Actoplus MET,https://www.webmd.com/drugs/drugreview-94140-Actoplus-MET-oral.aspx?drugid=94140&drugname=Actoplus-MET-oral
Actoplus Met XR,https://www.webmd.com/drugs/drugreview-154175-Actoplus-Met-XR-oral.aspx?drugid=154175&drugname=Actoplus-Met-XR-oral
Adlyxin,https://www.webmd.com/drugs/drugreview-172984-Adlyxin-subcutaneous.aspx?drugid=172984&drugname=Adlyxin-subcutaneous
albiglutide,https://www.webmd.com/drugs/drugreview-166372-albiglutide-subcutaneous.aspx?drugid=166372&drugname=albiglutide-subcutaneous
Alogliptin,https://www.webmd.com/drugs/drugreview-163392-alogliptin-oral.aspx?drugid=163392&drugname=alogliptin-oral
Alogliptin-Pioglitazone,https://www.webmd.com/drugs/drugreview-163393-alogliptin-pioglitazone-oral.aspx?drugid=163393&drugname=alogliptin-pioglitazone-oral
Alogliptin-Metformin,https://www.webmd.com/drugs/drugreview-163394-alogliptin-metformin-oral.aspx?drugid=163394&drugname=alogliptin-metformin-oral
Amaryl,https://www.webmd.com/drugs/drugreview-12297-Amaryl-oral.aspx?drugid=12297&drugname=Amaryl-oral
Avandamet,https://www.webmd.com/drugs/drugreview-64261-Avandamet-oral.aspx?drugid=64261&drugname=Avandamet-oral
Bromocriptine MESYLATE,https://www.webmd.com/drugs/drugreview-5565-bromocriptine-oral.aspx?drugid=5565&drugname=bromocriptine-oral
Bydureon Vial,https://www.webmd.com/drugs/drugreview-159405-Bydureon-subcutaneous.aspx?drugid=159405&drugname=Bydureon-subcutaneous
Bydureon Bcise Auto-Injector,https://www.webmd.com/drugs/drugreview-174375-Bydureon-BCise-subcutaneous.aspx?drugid=174375&drugname=Bydureon-BCise-subcutaneous
Byetta,https://www.webmd.com/drugs/drugreview-93242-Byetta-subcutaneous.aspx?drugid=93242&drugname=Byetta-subcutaneous
Canagliflozin Tablet,https://www.webmd.com/drugs/drugreview-163872-canagliflozin-oral.aspx?drugid=163872&drugname=canagliflozin-oral
Canagliflozin-Metformin Tablet,https://www.webmd.com/drugs/drugreview-166778-canagliflozin-metformin-oral.aspx?drugid=166778&drugname=canagliflozin-metformin-oral
Colesevelam Oral,https://www.webmd.com/drugs/drugreview-19888-colesevelam-oral.aspx?drugid=19888&drugname=colesevelam-oral
Cycloset,https://www.webmd.com/drugs/drugreview-154923-Cycloset-oral.aspx?drugid=154923&drugname=Cycloset-oral
Dapagliflozin Tablet,https://www.webmd.com/drugs/drugreview-165640-dapagliflozin-oral.aspx?drugid=165640&drugname=dapagliflozin-oral
Dapagliflozin-Saxagliptin Tablet,https://www.webmd.com/drugs/drugreview-173353-dapagliflozin-saxagliptin-oral.aspx?drugid=173353&drugname=dapagliflozin-saxagliptin-oral
"Dapagliflozin-Metformin Tablet, Immediate Release And Extended Release, Biphasic 24Hr (Tablet,Immed & Ext Release,Biphasic 24Hr)",https://www.webmd.com/drugs/drugreview-167198-dapagliflozin-metformin-oral.aspx?drugid=167198&drugname=dapagliflozin-metformin-oral
dulaglutide,https://www.webmd.com/drugs/drugreview-167024-dulaglutide-subcutaneous.aspx?drugid=167024&drugname=dulaglutide-subcutaneous
Empagliflozin Tablet,https://www.webmd.com/drugs/drugreview-166761-empagliflozin-oral.aspx?drugid=166761&drugname=empagliflozin-oral
Empagliflozin-Linagliptin Tablet,https://www.webmd.com/drugs/drugreview-167707-empagliflozin-linagliptin-oral.aspx?drugid=167707&drugname=empagliflozin-linagliptin-oral
Empagliflozin-Metformin Tablet,https://www.webmd.com/drugs/drugreview-169671-empagliflozin-metformin-oral.aspx?drugid=169671&drugname=empagliflozin-metformin-oral
Ertugliflozin 15 Mg Tablet,https://www.webmd.com/drugs/drugreview-174571-ertugliflozin-oral.aspx?drugid=174571&drugname=ertugliflozin-oral
Ertugliflozin 5 Mg-Sitagliptin 100 Mg Tablet,https://www.webmd.com/drugs/drugreview-174564-ertugliflozin-sitagliptin-oral.aspx?drugid=174564&drugname=ertugliflozin-sitagliptin-oral
Ertugliflozin 2.5 Mg-Metformin 500 Mg Tablet,https://www.webmd.com/drugs/drugreview-174582-ertugliflozin-metformin-oral.aspx?drugid=174582&drugname=ertugliflozin-metformin-oral
Exenatide Microspheres Pen Injector,https://www.webmd.com/drugs/drugreview-159402-exenatide-microspheres-subcutaneous.aspx?drugid=159402&drugname=exenatide-microspheres-subcutaneous
Exenatide Pen Injector,https://www.webmd.com/drugs/drugreview-93223-exenatide-subcutaneous.aspx?drugid=93223&drugname=exenatide-subcutaneous
Farxiga,https://www.webmd.com/drugs/drugreview-165641-Farxiga-oral.aspx?drugid=165641&drugname=Farxiga-oral
Glimepiride,https://www.webmd.com/drugs/drugreview-12271-glimepiride-oral.aspx?drugid=12271&drugname=glimepiride-oral
Pioglitazone-Glimepiride,https://www.webmd.com/drugs/drugreview-144978-pioglitazone-glimepiride-oral.aspx?drugid=144978&drugname=pioglitazone-glimepiride-oral
Rosiglitazone Oral,https://www.webmd.com/drugs/drugreview-17298-rosiglitazone-oral.aspx?drugid=17298&drugname=rosiglitazone-oral
Rosiglitazone-metformin Oral,https://www.webmd.com/drugs/drugreview-64253-rosiglitazone-metformin-oral.aspx?drugid=64253&drugname=rosiglitazone-metformin-oral
Rosiglitazone-Glimepiride Tablet,https://www.webmd.com/drugs/drugreview-94692-rosiglitazone-glimepiride-oral.aspx?drugid=94692&drugname=rosiglitazone-glimepiride-oral
Glipizide,https://www.webmd.com/drugs/drugreview-10094-glipizide-oral.aspx?drugid=10094&drugname=glipizide-oral
Glipizide-Metformin,https://www.webmd.com/drugs/drugreview-64318-glipizide-metformin-oral.aspx?drugid=64318&drugname=glipizide-metformin-oral
Glipizide (Bulk) 100 % Powder,https://www.webmd.com/drugs/drugreview-7509-glipizide-bulk.aspx?drugid=7509&drugname=glipizide-bulk
Glyburide Oral,https://www.webmd.com/drugs/drugreview-3917-glyburide-oral.aspx?drugid=3917&drugname=glyburide-oral
Glyburide,https://www.webmd.com/drugs/drugreview-7508-glyburide-bulk.aspx?drugid=7508&drugname=glyburide-bulk
Glyburide Micronized Oral,https://www.webmd.com/drugs/drugreview-5205-glyburide-micronized-oral.aspx?drugid=5205&drugname=glyburide-micronized-oral
Glucagon Diagnostic Kit,https://www.webmd.com/drugs/drugreview-17285-Glucagon-Diagnostic-injection.aspx?drugid=17285&drugname=Glucagon-Diagnostic-injection
Glucagon Emergency Kit,https://www.webmd.com/drugs/drugreview-166857-Glucagon-Emergency-Kit-injection.aspx?drugid=166857&drugname=Glucagon-Emergency-Kit-injection
Glucagon Hcl Vial,https://www.webmd.com/drugs/drugreview-168554-glucagon-HCl-injection.aspx?drugid=168554&drugname=glucagon-HCl-injection
Glucagon (Human Recombinant) Kit,https://www.webmd.com/drugs/drugreview-17033-glucagon-human-recombinant-injection.aspx?drugid=17033&drugname=glucagon-human-recombinant-injection
"Glucagon Solution, Reconstituted (Recon Soln)",https://www.webmd.com/drugs/drugreview-8145-glucagon-injection.aspx?drugid=8145&drugname=glucagon-injection
Glucagon Emergency Kit (Human-Recomb) 1 Mg Injection,https://www.webmd.com/drugs/drugreview-17284-Glucagon-Emergency-Kit-human-recomb-injection.aspx?drugid=17284&drugname=Glucagon-Emergency-Kit-human-recomb-injection
Glyset,https://www.webmd.com/drugs/drugreview-16866-Glyset-oral.aspx?drugid=16866&drugname=Glyset-oral
Humalog Vial,https://www.webmd.com/drugs/drugreview-13818-Humalog-U-100-Insulin-subcutaneous.aspx?drugid=13818&drugname=Humalog-U-100-Insulin-subcutaneous
Humalog Pen Syringe,https://www.webmd.com/drugs/drugreview-16875-Humalog-Pen-subcutaneous.aspx?drugid=16875&drugname=Humalog-Pen-subcutaneous
Humalog Mix 75-25 Vial,https://www.webmd.com/drugs/drugreview-20224-Humalog-Mix-75-25-U-100-Insulin-subcutaneous.aspx?drugid=20224&drugname=Humalog-Mix-75-25-U-100-Insulin-subcutaneous
Humalog Mix 50-50 Vial,https://www.webmd.com/drugs/drugreview-94930-Humalog-Mix-50-50-U-100-Insulin-subcutaneous.aspx?drugid=94930&drugname=Humalog-Mix-50-50-U-100-Insulin-subcutaneous
"Humalog Junior Kwikpen Insulin Pen, Half-Unit",https://www.webmd.com/drugs/drugreview-174012-Humalog-Junior-KwikPen-U-100-Insulin-subcutaneous.aspx?drugid=174012&drugname=Humalog-Junior-KwikPen-U-100-Insulin-subcutaneous
Humalog Kwikpen U-100 Insulin Pen,https://www.webmd.com/drugs/drugreview-149828-Humalog-KwikPen-Insulin-subcutaneous.aspx?drugid=149828&drugname=Humalog-KwikPen-Insulin-subcutaneous
Humalog Mix 75-25 Kwikpen Insulin Pen,https://www.webmd.com/drugs/drugreview-149829-Humalog-Mix-75-25-KwikPen-U-100-Insulin-subcutaneous.aspx?drugid=149829&drugname=Humalog-Mix-75-25-KwikPen-U-100-Insulin-subcutaneous
Humalog Mix 50-50 Kwikpen Insulin Pen,https://www.webmd.com/drugs/drugreview-149830-Humalog-Mix-50-50-KwikPen-U-100-Insulin-subcutaneous.aspx?drugid=149830&drugname=Humalog-Mix-50-50-KwikPen-U-100-Insulin-subcutaneous
Insulin Aspart Solution,https://www.webmd.com/drugs/drugreview-21774-insulin-aspart-U-100-subcutaneous.aspx?drugid=21774&drugname=insulin-aspart-U-100-subcutaneous
Insulin Aspart (Niacinamide) Pen,https://www.webmd.com/drugs/drugreview-173266-insulin-aspart-niacinamide-U-100-subcutaneous.aspx?drugid=173266&drugname=insulin-aspart-niacinamide-U-100-subcutaneous
"Diluent, Insulin Aspart No.1 Solution",https://www.webmd.com/drugs/drugreview-169194-diluent-for-insulin-aspart-no-1-injection.aspx?drugid=169194&drugname=diluent-for-insulin-aspart-no-1-injection
Insulin Asp Prt-Insulin Aspart Cartridge,https://www.webmd.com/drugs/drugreview-64070-insulin-aspart-protamine-insulin-aspart-subcutaneous.aspx?drugid=64070&drugname=insulin-aspart-protamine-insulin-aspart-subcutaneous
Insulin Degludec Pen,https://www.webmd.com/drugs/drugreview-165589-insulin-degludec-subcutaneous.aspx?drugid=165589&drugname=insulin-degludec-subcutaneous
Insulin Degludec-Liraglutide Pen,https://www.webmd.com/drugs/drugreview-172910-insulin-degludec-liraglutide-subcutaneous.aspx?drugid=172910&drugname=insulin-degludec-liraglutide-subcutaneous
Insulin Glargine-Lixisenatide Pen,https://www.webmd.com/drugs/drugreview-172916-insulin-glargine-lixisenatide-subcutaneous.aspx?drugid=172916&drugname=insulin-glargine-lixisenatide-subcutaneous
Insulin Glargine Solution,https://www.webmd.com/drugs/drugreview-20805-insulin-glargine-subcutaneous.aspx?drugid=20805&drugname=insulin-glargine-subcutaneous
Insulin Glargine U-300 Conc Pen,https://www.webmd.com/drugs/drugreview-175773-insulin-glargine-U-300-concentrated-subcutaneous.aspx?drugid=175773&drugname=insulin-glargine-U-300-concentrated-subcutaneous
Insulin Lispro Solution,https://www.webmd.com/drugs/drugreview-3486-insulin-lispro-subcutaneous.aspx?drugid=3486&drugname=insulin-lispro-subcutaneous
Insulin Lispro Protamin-Lispro Suspension,https://www.webmd.com/drugs/drugreview-17424-insulin-lispro-protamine-and-lispro-subcutaneous.aspx?drugid=17424&drugname=insulin-lispro-protamine-and-lispro-subcutaneous
Invokana,https://www.webmd.com/drugs/drugreview-163874-Invokana-oral.aspx?drugid=163874&drugname=Invokana-oral
Jardiance,https://www.webmd.com/drugs/drugreview-166762-Jardiance-oral.aspx?drugid=166762&drugname=Jardiance-oral
Januvia,https://www.webmd.com/drugs/drugreview-145704-Januvia-oral.aspx?drugid=145704&drugname=Januvia-oral
Jentadueto,https://www.webmd.com/drugs/drugreview-159449-Jentadueto-oral.aspx?drugid=159449&drugname=Jentadueto-oral
Jentadueto XR,https://www.webmd.com/drugs/drugreview-172005-Jentadueto-XR-oral.aspx?drugid=172005&drugname=Jentadueto-XR-oral
Juvisync,https://www.webmd.com/drugs/drugreview-157671-Juvisync-oral.aspx?drugid=157671&drugname=Juvisync-oral
Lantus Vial,https://www.webmd.com/drugs/drugreview-20815-Lantus-U-100-Insulin-subcutaneous.aspx?drugid=20815&drugname=Lantus-U-100-Insulin-subcutaneous
Lantus Solostar Insulin Pen,https://www.webmd.com/drugs/drugreview-148652-Lantus-Solostar-U-100-Insulin-subcutaneous.aspx?drugid=148652&drugname=Lantus-Solostar-U-100-Insulin-subcutaneous
Linagliptin Tablet,https://www.webmd.com/drugs/drugreview-155816-linagliptin-oral.aspx?drugid=155816&drugname=linagliptin-oral
Linagliptin-Metformin Tablet,https://www.webmd.com/drugs/drugreview-159426-linagliptin-metformin-oral.aspx?drugid=159426&drugname=linagliptin-metformin-oral
Liraglutide Pen Injector,https://www.webmd.com/drugs/drugreview-153566-liraglutide-subcutaneous.aspx?drugid=153566&drugname=liraglutide-subcutaneous
Lixisenatide Pen Injector,https://www.webmd.com/drugs/drugreview-165976-lixisenatide-subcutaneous.aspx?drugid=165976&drugname=lixisenatide-subcutaneous
Metaglip,https://www.webmd.com/drugs/drugreview-64323-Metaglip-oral.aspx?drugid=64323&drugname=Metaglip-oral
Metformin HCL,https://www.webmd.com/drugs/drugreview-11285-metformin-oral.aspx?drugid=11285&drugname=metformin-oral
Glyburide-Metformin HCL,https://www.webmd.com/drugs/drugreview-19823-glyburide-metformin-oral.aspx?drugid=19823&drugname=glyburide-metformin-oral
Repaglinide-Metformin HCL,https://www.webmd.com/drugs/drugreview-151643-repaglinide-metformin-oral.aspx?drugid=151643&drugname=repaglinide-metformin-oral
Nesina,https://www.webmd.com/drugs/drugreview-163399-Nesina-oral.aspx?drugid=163399&drugname=Nesina-oral
Novolog Mix 70-30 Vial,https://www.webmd.com/drugs/drugreview-64071-Novolog-Mix-70-30-U-100-Insulin-subcutaneous.aspx?drugid=64071&drugname=Novolog-Mix-70-30-U-100-Insulin-subcutaneous
Novolog Mix 70-30 Flexpen Insulin Pen,https://www.webmd.com/drugs/drugreview-94092-Novolog-Mix-70-30-FlexPen-U-100-Insulin-subcutaneous.aspx?drugid=94092&drugname=Novolog-Mix-70-30-FlexPen-U-100-Insulin-subcutaneous
Novolog Vial,https://www.webmd.com/drugs/drugreview-21781-Novolog-U-100-Insulin-aspart-subcutaneous.aspx?drugid=21781&drugname=Novolog-U-100-Insulin-aspart-subcutaneous
Novolog Cartridge,https://www.webmd.com/drugs/drugreview-155005-Novolog-PenFill-U-100-Insulin-aspart-subcutaneous.aspx?drugid=155005&drugname=Novolog-PenFill-U-100-Insulin-aspart-subcutaneous
Novolog Flexpen Insulin Pen,https://www.webmd.com/drugs/drugreview-64858-Novolog-Flexpen-U-100-Insulin-aspart-subcutaneous.aspx?drugid=64858&drugname=Novolog-Flexpen-U-100-Insulin-aspart-subcutaneous
Diluting Medium For Novolog Vial,https://www.webmd.com/drugs/drugreview-169203-Diluting-Medium-for-Novolog-injection.aspx?drugid=169203&drugname=Diluting-Medium-for-Novolog-injection
Onglyza,https://www.webmd.com/drugs/drugreview-152753-Onglyza-oral.aspx?drugid=152753&drugname=Onglyza-oral
Ozempic,https://www.webmd.com/drugs/drugreview-174491-Ozempic-subcutaneous.aspx?drugid=174491&drugname=Ozempic-subcutaneous
Pioglitazone Oral,https://www.webmd.com/drugs/drugreview-17406-pioglitazone-oral.aspx?drugid=17406&drugname=pioglitazone-oral
pramlintide,https://www.webmd.com/drugs/drugreview-92867-pramlintide-subcutaneous.aspx?drugid=92867&drugname=pramlintide-subcutaneous
Prandin,https://www.webmd.com/drugs/drugreview-6639-Prandin-oral.aspx?drugid=6639&drugname=Prandin-oral
