Drug,URL
Amturnide,https://www.webmd.com/drugs/drugreview-155202-Amturnide-oral.aspx?drugid=155202&drugname=Amturnide-oral
Aliskiren Tablet,https://www.webmd.com/drugs/drugreview-147671-aliskiren-oral.aspx?drugid=147671&drugname=aliskiren-oral
Aliskiren-Hydrochlorothiazide Tablet,https://www.webmd.com/drugs/drugreview-149962-aliskiren-hydrochlorothiazide-oral.aspx?drugid=149962&drugname=aliskiren-hydrochlorothiazide-oral
Aliskiren-Amlodipine Tablet,https://www.webmd.com/drugs/drugreview-154589-aliskiren-amlodipine-oral.aspx?drugid=154589&drugname=aliskiren-amlodipine-oral
Aliskiren-Valsartan Tablet,https://www.webmd.com/drugs/drugreview-153008-aliskiren-valsartan-oral.aspx?drugid=153008&drugname=aliskiren-valsartan-oral
Aliskiren 150 Mg-Amlodipine 5 Mg-Hydrochlorothiazide 12.5 Mg Tablet,https://www.webmd.com/drugs/drugreview-155198-aliskiren-amlodipine-hydrochlorothiazide-oral.aspx?drugid=155198&drugname=aliskiren-amlodipine-hydrochlorothiazide-oral
Amlodipine-atorvastatin,https://www.webmd.com/drugs/drugreview-78636-amlodipine-atorvastatin-oral.aspx?drugid=78636&drugname=amlodipine-atorvastatin-oral
Amlodipine BESYLATE,https://www.webmd.com/drugs/drugreview-5891-amlodipine-oral.aspx?drugid=5891&drugname=amlodipine-oral
AMLODIPINE BESYLATE-BENAZEPRIL,https://www.webmd.com/drugs/drugreview-11524-amlodipine-benazepril-oral.aspx?drugid=11524&drugname=amlodipine-benazepril-oral
Amlodipine Besylate (Bulk) 100 % Powder,https://www.webmd.com/drugs/drugreview-153917-amlodipine-besylate-bulk.aspx?drugid=153917&drugname=amlodipine-besylate-bulk
Amlodipine-olmesartan,https://www.webmd.com/drugs/drugreview-149214-amlodipine-olmesartan-oral.aspx?drugid=149214&drugname=amlodipine-olmesartan-oral
Atacand,https://www.webmd.com/drugs/drugreview-16595-Atacand-oral.aspx?drugid=16595&drugname=Atacand-oral
Atacand HCT,https://www.webmd.com/drugs/drugreview-19957-Atacand-HCT-oral.aspx?drugid=19957&drugname=Atacand-HCT-oral
Amlodipine-Atorvastatin,https://www.webmd.com/drugs/drugreview-78636-amlodipine-atorvastatin-oral.aspx?drugid=78636&drugname=amlodipine-atorvastatin-oral
Atorvastatin CALCIUM,https://www.webmd.com/drugs/drugreview-841-atorvastatin-oral.aspx?drugid=841&drugname=atorvastatin-oral
Ezetimibe-Atorvastatin Tablet,https://www.webmd.com/drugs/drugreview-164168-ezetimibe-atorvastatin-oral.aspx?drugid=164168&drugname=ezetimibe-atorvastatin-oral
Azilsartan Medoxomil Tablet,https://www.webmd.com/drugs/drugreview-155413-azilsartan-medoxomil-oral.aspx?drugid=155413&drugname=azilsartan-medoxomil-oral
Azor,https://www.webmd.com/drugs/drugreview-149217-Azor-oral.aspx?drugid=149217&drugname=Azor-oral
Benicar,https://www.webmd.com/drugs/drugreview-63173-Benicar-oral.aspx?drugid=63173&drugname=Benicar-oral
Benicar HCT,https://www.webmd.com/drugs/drugreview-76391-Benicar-HCT-oral.aspx?drugid=76391&drugname=Benicar-HCT-oral
Byvalson,https://www.webmd.com/drugs/drugreview-172271-Byvalson-oral.aspx?drugid=172271&drugname=Byvalson-oral
Caduet,https://www.webmd.com/drugs/drugreview-88964-Caduet-oral.aspx?drugid=88964&drugname=Caduet-oral
Candesartan CILEXETIL,https://www.webmd.com/drugs/drugreview-8183-candesartan-oral.aspx?drugid=8183&drugname=candesartan-oral
Captopril,https://www.webmd.com/drugs/drugreview-964-captopril-oral.aspx?drugid=964&drugname=captopril-oral
Captopril-Hydrochlorothiazide,https://www.webmd.com/drugs/drugreview-5293-captopril-hydrochlorothiazide-oral.aspx?drugid=5293&drugname=captopril-hydrochlorothiazide-oral
Captopril (Bulk) 100 % Powder,https://www.webmd.com/drugs/drugreview-78495-captopril-bulk.aspx?drugid=78495&drugname=captopril-bulk
Chlorthalidone,https://www.webmd.com/drugs/drugreview-3951-chlorthalidone-oral.aspx?drugid=3951&drugname=chlorthalidone-oral
Atenolol-Chlorthalidone,https://www.webmd.com/drugs/drugreview-1955-atenolol-chlorthalidone-oral.aspx?drugid=1955&drugname=atenolol-chlorthalidone-oral
Azilsartan Med-Chlorthalidone Tablet,https://www.webmd.com/drugs/drugreview-159143-azilsartan-medoxomil-chlorthalidone-oral.aspx?drugid=159143&drugname=azilsartan-medoxomil-chlorthalidone-oral
Clonidine W/Chlorthalidone Tablet,https://www.webmd.com/drugs/drugreview-53694-Clonidine-W-Chlorthalidone-oral.aspx?drugid=53694&drugname=Clonidine-W-Chlorthalidone-oral
Clonidine-Chlorthalidone Tablet,https://www.webmd.com/drugs/drugreview-2228-clonidine-chlorthalidone-oral.aspx?drugid=2228&drugname=clonidine-chlorthalidone-oral
